Formation,Age (mya),Age (gya),Lithology,d13C carb,# samples,Abbreviated reference,Full reference source
"Yellowknife, Coronation Gulf",2675,2.675,lime,-6.77,6,veizer89b,SV2002
"Yellowknife, Coronation Gulf",2675,2.675,dol,-0.93,3,veizer89b,SV2002
Boomplaas,2660,2.660,carb,-0.559042693,29,Fischer et al. (2009),RefList
Bulawayan,2650,2.650,lime,0.35,15,veizer89b,SV2002
Bulawayan,2650,2.650,ank,2.5,1,veizer89b,SV2002
Bulawayan,2650,2.650,chert,0.2,5,schid83,SV2002
Bulawayan,2650,2.650,carb,-0.4,30,schid75,SV2002
Bulawayan,2650,2.650,lime,0.4,1,hoering62,SV2002
Bulawayan,2650,2.650,carb,-0.2,9,eichman75,SV2002
"Bulawayan, Bulawayo",2650,2.650,lime,1.3,2,veizer76,SV2002
Klippan,2650,2.650,lime,-3.86,7,veizer90,SV2002
Lokammona,2649.407895,2.649,carb,-0.938875,8,Fischer et al. (2009),RefList
Carawine,2630,2.630,dolomite,-0.284615385,13,Eigenbrode & Freeman (2006) PNAS,RefList
"Shamvian, Gatooma",2625,2.625,carb,2.3,2,schid75,SV2002
Monteville,2622.5,2.623,carb,0.015446887,26,Fischer et al. (2009),RefList
Cheshire,2600,2.600,lime,-0.11,120,abell85a,SV2002
Lower Nauga,2592.833333,2.593,carb,-0.451391991,44,Fischer et al. (2009),RefList
Carawine,2575,2.575,lime,-3.6,1,veizer90,SV2002
Carawine,2575,2.575,dol,0.17,30,veizer90,SV2002
Carawine,2575,2.575,carb,0.2,1,schid83,SV2002
Carawine,2575,2.575,carb,0.7,62,lindsay02,RefList
Carawine,2575,2.575,carb,0.1,20,lindsay02,RefList
Mid Nauga,2574.714751,2.575,carb,-0.298011161,64,Fischer et al. (2009),RefList
Wittenoom,2565,2.565,dolomite,-0.575,4,Eigenbrode & Freeman (2006) PNAS,RefList
Upper Nauga,2552.501653,2.553,carb,-0.814965961,54,Fischer et al. (2009),RefList
Malmani,2550,2.550,carb,0.8,13,schid83,SV2002
Transvaal,2550,2.550,dol,-1.4,1,schid83,SV2002
Transvaal,2550,2.550,carb,1.9,1,hoering62,SV2002
Transvaal,2550,2.550,carb,-0.5,13,eichman75,SV2002
"Transvaal, Dolomite series",2550,2.550,lime,-1.08,12,schid75,SV2002
"Transvaal, Dolomite series",2550,2.550,carb,-0.89,63,schid75,SV2002
Wittenoom,2550,2.550,dol,0.41,41,veizer90,SV2002
Wittenoom,2550,2.550,carb,-0.1,3,veizer76,SV2002
Wittenoom,2550,2.550,dol,0.2,4,schid83,SV2002
Wittenoom,2550,2.550,carb,0,55,lindsay02,RefList
Wittenoom,2550,2.550,carb,0.2,28,lindsay02,RefList
Wittenoom,2550,2.550,carb,0,53,lindsay02,RefList
Wittenoom,2550,2.550,lime,-2.46,16,becker72,SV2002
Wittenoom,2550,2.550,dol,-1.72,5,becker72,SV2002
Wittenoom,2550,2.550,dol,0.5,3,baur85,SV2002
"Malmani, Espanola",2525,2.525,lime,-2.2,1,veizer92a,SV2002
"Malmani, Espanola",2525,2.525,dol,-0.34,87,veizer92a,SV2002
"Malmani, Espanola",2525,2.525,lime,-3.4,1,schid75,SV2002
"Chitradurga, Huliar",2500,2.500,lime,-0.15,14,kumar83,SV2002
Mt McRae Shale,2500,2.500,carb,-6.35,67,Kaufman et al. (2007) Science,RefList
Tongwane,2475,2.475,dol,2.82,5,bekker01,SV2002
"Dashiling, Nandaxian",2450,2.45,dol,1.88,110,zhong97,SV2002
Duitschland,2450,2.45,carb,6.43,33,buick98,SV2002
Duitschland,2450,2.45,dol,4.58,17,bekker01,SV2002
Duitschland,2450,2.45,lime,1.19,14,bekker01,SV2002
"Gandarela Formation, Minas Gerais",2420,2.42,carb,-0.71744186,86,Maheshwari et al. (2010),RefList
Duitschland Fm.,2416,2.416,shale,3.279545455,22,Guo et al. (2009),RefList
Koegas Fm.,2416,2.416,shale,-8.466666667,3,Guo et al. (2009),RefList
Tongwane Fm.,2416,2.416,carbonate,-0.8,1,Guo et al. (2009),RefList
Hotazel,2400,2.4,lime,-9.3,2,pprg92,SV2002
Hotazel,2400,2.4,dol,-11.3,1,pprg92,SV2002
Kazput,2400,2.4,carb,-2.4,23,lindsay02,RefList
Meteorite Bore,2400,2.4,carb,-0.5,2,lindsay02,RefList
Mooidraai,2400,2.4,dol,0.58,10,bau99,SV2002
"Cercadinho Formation, Minas Gerais",2350,2.35,quartzite,3.627142857,14,Maheshwari et al. (2010),RefList
Lomagundi,2350,2.35,carb,7.1,14,schid75,SV2002
"Mcheka, Lomagundi",2350,2.35,dol,8.5,58,schid76a,SV2002
"Nyagari, Lomagundi",2350,2.35,dol,5.9,8,schid76a,SV2002
Timeball Hill,2325,2.325,dol,0.4,1,eichman75,SV2002
Caue Itabirito,2300,2.3,dol,-1.1,3,schid76b,SV2002
Jhamarkotra,2250,2.25,dol,9.04,21,maheshwari99,SV2002
"Transvaal, Pretoria series",2250,2.25,lime,1.5,1,schid75,SV2002
"Transvaal, Pretoria series",2250,2.25,dol,0.4,1,schid75,SV2002
Mooidraai Fm.,2236,2.236,carb,-0.38,5,Guo et al. (2009),RefList
Sompujarvi,2225,2.225,dol,8.6,1,karhu93,SV2002
Beidaxing,2200,2.2,dol,-0.24,94,zhong97,SV2002
Daguandong,2200,2.2,dol,0.02,110,zhong97,SV2002
"Dolomite Fm, Kuusamo",2200,2.2,dol,9.93,6,karhu93,SV2002
"Dolomite Fm, Kuusamo",2200,2.2,lime,15.1,1,karhu93,SV2002
Gandarella,2200,2.2,dol,-0.8,6,schid76b,SV2002
Hebiancun,2200,2.2,dol,0.31,43,zhong97,SV2002
Huaiyincun,2200,2.2,dol,-2.52,59,zhong97,SV2002
Jianancun,2200,2.2,dol,-0.84,33,zhong97,SV2002
Mid-Lapponian,2200,2.2,dol,5.88,4,karhu93,SV2002
Mid-Lapponian,2200,2.2,lime,1.4,1,karhu93,SV2002
Mid-Lapponian,2200,2.2,dol,6.96,2,karhu93,SV2002
Wenshan,2200,2.2,dol,0.83,25,zhong97,SV2002
Wooly,2200,2.2,carb,-0.9,16,lindsay02,RefList
Kivalo,2175,2.175,dol,8.26,7,karhu93,SV2002
Misi,2175,2.175,lime,12,2,karhu93,SV2002
Misi,2175,2.175,dol,12.69,5,karhu93,SV2002
"Oklo, FA",2150,2.15,lime,-2.8,1,gauthier89,SV2002
"Oklo, FA",2150,2.15,dol,2.25,2,gauthier89,SV2002
"Oklo, FB",2150,2.15,dol,3.5,1,gauthier89,SV2002
"Oklo, FB-C",2150,2.15,dol,4.53,3,gauthier89,SV2002
Silverton,2150,2.15,shale,9.6,5,Guo et al. (2009),RefList
Silverton,2150,2.15,carb,8.56,38,buick98,SV2002
Silverton,2150,2.15,lime,8.4,1,buick98,SV2002
Silverton,2150,2.15,dolomite,9.55,6,Bekker et al. (2008) EPSL,RefList
Silverton,2150,2.15,limestone,9.708333333,12,Bekker et al. (2008) EPSL,RefList
Silverton,2150,2.15,marl,9.61,10,Bekker et al. (2008) EPSL,RefList
Lucknow,2125,2.125,dol,10.3,2,bekker01,SV2002
"Fecho do Funil Formation, Minas Gerais",2110,2.11,metapelite,6.106,65,Maheshwari et al. (2010),RefList
" Paso Severino Fm, San José greenstone Belt",2110,2.11,carb,3.558064516,31,Maheshwari et al. (2010),RefList
Albanel (lower),2100,2.1,dol,6.4,2,schid83,SV2002
Kasegalik,2100,2.1,chert,-0.6,1,schid83,SV2002
Loch Maree,2100,2.1,lime,5.57,19,baker89a,SV2002
Lofoten-Vesteralen,2100,2.1,lime,3.75,68,baker89b,SV2002
"Lower Albanel, lower banded dolostone unit",2100,2.1,dol,0.88,18,mirota94,SV2002
"Lower Albanel, lower banded dolostone unit",2100,2.1,lime,0.79,17,mirota94,SV2002
"Lower Albanel, lower black shale unit",2100,2.1,dol,-1.49,14,mirota94,SV2002
"Lower Albanel, strat. dolostone & shale unit",2100,2.1,dol,0.68,8,mirota94,SV2002
"Lower Albanel, upper banded dolostone unit",2100,2.1,dol,2.78,23,mirota94,SV2002
"Lower Albanel, upper banded dolostone unit",2100,2.1,lime,1.98,6,mirota94,SV2002
"Lower Albanel, upper black shale unit",2100,2.1,dol,-1.64,10,mirota94,SV2002
Luidikovian,2100,2.1,lime,3.5,1,tikhomirova93,SV2002
Luidikovian,2100,2.1,dol,-6.86,5,tikhomirova93,SV2002
Manitounuk,2100,2.1,dol,-1.6,2,schid75,SV2002
Manitounuk,2100,2.1,dol,-2.2,1,eichman75,SV2002
McLeary,2100,2.1,chert,-0.4,1,schid83,SV2002
Mistassini,2100,2.1,lime,2.8,2,mirota94,SV2002
"Sattasvaara, Upper Lapponian",2100,2.1,lime,3.2,1,karhu93,SV2002
"Sattasvaara, Upper Lapponian",2100,2.1,dol,6.2,1,karhu93,SV2002
"Sericite Schist Fm, Kuusamo",2100,2.1,lime,8.2,2,karhu93,SV2002
"Siltstone Fm, Kuusamo",2100,2.1,dol,12.1,1,karhu93,SV2002
Svecofennian,2100,2.1,carb,0.5,2,schid75,SV2002
Urungwe Klippe,2100,2.1,lime,-3.97,9,schid76a,SV2002
Urungwe Klippe,2100,2.1,dol,-0.38,4,schid76a,SV2002
"Jatulian, Tulomozero",2075,2.075,dol,8.85,6,karhu93,SV2002
"Limestone-Dolomite Fm, Kuusamo",2075,2.075,lime,3.25,2,karhu93,SV2002
"Limestone-Dolomite Fm, Kuusamo",2075,2.075,dol,3.98,7,karhu93,SV2002
Tulomozerskaya,2075,2.075,lime,-1.99,7,yudovitch90,SV2002
Tulomozerskaya,2075,2.075,dol,3.1,18,yudovitch90,SV2002
Tulomozerskaya,2075,2.075,lime,10.87,3,melezhik99,SV2002
Tulomozerskaya,2075,2.075,dol,8.88,47,melezhik99,SV2002
Tulomozerskaya,2075,2.075,dol,11.93,21,melezhik99,SV2002
Tulomozerskaya,2075,2.075,dol,9.63,40,melezhik01a,SV2002
Tulomozerskaya,2075,2.075,carb,9.68,10,melezhik01a,SV2002
"Watterson Fm, Hurwitz Gp",2075,2.075,dol,8.41,4,hofmann98,SV2002
"Eskosenvaara Fm, Somerjarvi Gp, Kainuu",2050,2.05,dol,4.81,3,karhu93,SV2002
"Jatulian, North Onega",2050,2.05,lime,15.16,2,karhu93,SV2002
"Jatulian, North Onega",2050,2.05,dol,11.82,4,karhu93,SV2002
"Jatulian, Onega",2050,2.05,dol,9.46,7,karhu93,SV2002
"Jatulian, Soanlahti",2050,2.05,dol,8.4,1,karhu93,SV2002
"Jatulian, Suojarvi",2050,2.05,dol,10.07,2,karhu93,SV2002
Karelian,2050,2.05,dol,5,8,schid75,SV2002
Karelian,2050,2.05,dol,3.6,2,eichman75,SV2002
Kuopio,2050,2.05,dol,1.1,1,karhu93,SV2002
"Kvartsimaa Fm, Perapohja",2050,2.05,dol,8.65,3,karhu93,SV2002
"Lower Carbonate Fm, Alasiikajarvi",2050,2.05,dol,6.6,1,karhu93,SV2002
"Lower Fm, Middle Gp, Kalix",2050,2.05,lime,2.3,2,karhu93,SV2002
"Lower Fm, Middle Gp, Kalix",2050,2.05,dol,3.14,3,karhu93,SV2002
Lower Pitkaranta Gp,2050,2.05,lime,5.38,3,karhu93,SV2002
Lower Pitkaranta Gp,2050,2.05,dol,5.5,2,karhu93,SV2002
"Ludian, Onega",2050,2.05,dol,-3.2,1,karhu93,SV2002
Pelkosenniemi,2050,2.05,lime,11.9,2,karhu93,SV2002
Pelkosenniemi,2050,2.05,dol,8.81,3,karhu93,SV2002
"Petonen Fm, Kuopio",2050,2.05,lime,3.66,5,karhu93,SV2002
"Petonen Fm, Kuopio",2050,2.05,dol,4.89,7,karhu93,SV2002
"Poikkijarvi Fm, Hyrynsalmi Gp",2050,2.05,lime,7.7,1,karhu93,SV2002
"Poikkijarvi Fm, Hyrynsalmi Gp",2050,2.05,dol,8.52,3,karhu93,SV2002
"Rantamaa Fm, Perapohja",2050,2.05,lime,6.9,1,karhu93,SV2002
"Rantamaa Fm, Perapohja",2050,2.05,dol,6.95,13,karhu93,SV2002
"Rantuvaara Fm, Upper Lapponian Gp",2050,2.05,dol,3.78,3,karhu93,SV2002
"Salmijarvi Fm, Kainuu",2050,2.05,lime,2.6,1,karhu93,SV2002
"Salmijarvi Fm, Kainuu",2050,2.05,dol,3.65,2,karhu93,SV2002
"Upper Carbonate Fm, Alasiikajarvi",2050,2.05,dol,1.4,1,karhu93,SV2002
"Upper Lapponian, Kittila-Kolari",2050,2.05,lime,9.85,2,karhu93,SV2002
"Upper Lapponian, Kittila-Kolari",2050,2.05,dol,8.98,5,karhu93,SV2002
Upper Pitkaranta,2050,2.05,lime,1.73,7,karhu93,SV2002
Upper Pitkaranta,2050,2.05,dol,1.9,1,karhu93,SV2002
"Vaisala, Kainuu",2050,2.05,dol,7.5,1,karhu93,SV2002
"Yllas Fm, Kittila-Kolari",2050,2.05,dol,5.5,1,karhu93,SV2002
Zaonega Fm,2035,2.035,shale,-6.363157895,19,Kump et al. (2011) Science,RefList
"Kautoselka Fm, Upper Lapponian",2025,2.025,lime,2,2,karhu93,SV2002
"Kautoselka Fm, Upper Lapponian",2025,2.025,dol,1.6,4,karhu93,SV2002
"Upper Fm, Middle Gp, Kalix",2025,2.025,dol,4.08,4,karhu93,SV2002
Upper Yatulian,2025,2.025,lime,8.6,2,tikhomirova93,SV2002
Upper Yatulian,2025,2.025,dol,9.11,18,tikhomirova93,SV2002
Lucknow Fm.,2000,2,sandstone,9.3,3,Guo et al. (2009),RefList
Albanel (upper),2000,2,dol,0.9,1,schid83,SV2002
Gibraltar,2000,2,carb,-0.7,1,schid83,SV2002
"Greenstone Gp, western Lapland",2000,2,lime,-0.53,4,karhu93,SV2002
"Greenstone Gp, western Lapland",2000,2,dol,1.48,7,karhu93,SV2002
Hearne,2000,2,carb,1.6,1,schid83,SV2002
Kalochella,2000,2,carb,-0.2,1,schid83,SV2002
Krivoj Rog,2000,2,lime,-9.3,25,perry81,SV2002
"Middle Sedimentary Gp, Pahakurkio",2000,2,lime,1.3,1,karhu93,SV2002
Randville,2000,2,dol,3.5,1,hoering62,SV2002
"Upper Albanel, banded dolostone unit",2000,2,dol,1.09,21,mirota94,SV2002
"Upper Albanel, sandy dolostone unit",2000,2,dol,1.1,20,mirota94,SV2002
Jhamarkotra formation,1921,1.921,dol,1.382051282,78,Purohit et al. (2011),RefList
"Kalevian, North Karelia",1975,1.975,lime,-1.9,2,karhu93,SV2002
"Kalevian, North Karelia",1975,1.975,dol,0.11,6,karhu93,SV2002
"Kalevian, Northern Ostrobothnia",1975,1.975,dol,2.94,4,karhu93,SV2002
Central Svecofennian,1925,1.925,lime,1.06,9,karhu93,SV2002
Central Svecofennian,1925,1.925,dol,1.71,4,karhu93,SV2002
Epworth Gp,1925,1.925,dol,0.2,1,schid83,SV2002
North Svecofennian,1925,1.925,lime,-2.03,3,karhu93,SV2002
North Svecofennian,1925,1.925,dol,-0.3,1,karhu93,SV2002
Northeast Svecofennian,1925,1.925,lime,1.83,9,karhu93,SV2002
Northeast Svecofennian,1925,1.925,dol,2.3,5,karhu93,SV2002
"Odjick Fm, Coronation Sgp",1925,1.925,dol,0.6,2,veizer92b,SV2002
"Odjick Fm, Coronation Sgp",1925,1.925,ank,-7,1,veizer92b,SV2002
Rocknest Fm,1925,1.925,dol,0.3,2,veizer76,SV2002
"Rocknest Fm, Coronation Sgp",1925,1.925,dol,0.79,15,veizer92b,SV2002
"Rocknest Fm, Wopmay",1925,1.925,dol,1.19,9,pprg92,SV2002
South Svecofennian,1925,1.925,lime,0.24,15,karhu93,SV2002
South Svecofennian,1925,1.925,dol,0.22,2,karhu93,SV2002
"Iswal, Aravalli Supergroup",1921,1.921,carb,9.09047619,21,Maheshwari et al. (2010),RefList
Coronation,1900,1.9,lime,1.3,2,veizer76,SV2002
Coronation,1900,1.9,dol,0.3,2,veizer76,SV2002
"Cowles Lk Fm, Coronation Sgp",1900,1.9,lime,0.47,3,veizer92b,SV2002
Pekanatui Point,1900,1.9,lime,0.4,1,veizer76,SV2002
Umkondo,1900,1.9,dol,14,1,schid75,SV2002
"Talthalei, East Arm Gt Slave Lk",1875,1.875,lime,0.67,9,whittaker98,SV2002
"Talthalei, East Arm Gt Slave Lk",1875,1.875,dol,0.91,21,whittaker98,SV2002
Taltheilei,1875,1.875,carb,1.3,1,schid83,SV2002
Utsingi,1875,1.875,lime,2.1,1,veizer76,SV2002
"Utsingi, East Arm Gt Slave Lk",1875,1.875,lime,1.22,22,whittaker98,SV2002
"Utsingi, East Arm Gt Slave Lk",1875,1.875,dol,1.69,20,whittaker98,SV2002
"Wildbread, East Arm Gt Slave Lk",1875,1.875,lime,1.13,4,whittaker98,SV2002
"Wildbread, East Arm Gt Slave Lk",1875,1.875,dol,1.5,5,whittaker98,SV2002
Duck Ck,1795,1.795,dol,0.17,21,veizer92a,SV2002
Duck Ck,1795,1.795,carb,0.5,2,veizer76,SV2002
Duck Ck,1795,1.795,carb,0.7,5,schid83,SV2002
Duck Ck,1795,1.795,carb,0.5,22,lindsay02,RefList
Duck Ck,1795,1.795,carb,-0.6,4,becker72,SV2002
Johnson Cairn,1850,1.85,carb,-0.4,1,lindsay02,RefList
Juderina,1850,1.85,carb,7.7,5,lindsay02,RefList
Juderina,1850,1.85,carb,6.7,6,lindsay02,RefList
Duck Creek Formation,1795,1.795,carb,0.445035971,417,Wilson et al. (2010),RefList
Chuanlinggou Fm.,1705,1.705,dol,-3.284615385,13,Chu et al. (2007),RefList
Earaheedy,1700,1.7,carb,-1.3,4,schid83,SV2002
"Frere, Earaheedy Gp",1700,1.7,dol,0.2,3,schid83,SV2002
"Frere, Earaheedy Gp",1700,1.7,carb,-0.7,1,lindsay02,RefList
"Gunpowder Ck, McNamara Gp",1700,1.7,dol,-0.78,38,lindsay00,SV2002
"Kajrahat, Vindhyan, Maihar-Dhanwahi",1700,1.7,lime,-0.18,4,friedman96,SV2002
"Kajrahat, Vindhyan, Son Valley",1700,1.7,lime,0.14,52,"ray, unpublished (see PMCID ref)",SV2002
"Kajrahat, Vindhyan, Son Valley",1700,1.7,dol,0.9,1,"ray, unpublished (see PMCID ref)",SV2002
"Tuanshanzi Fm, Jixian",1700,1.7,dol,-3.98,6,xiao97,SV2002
"Windidda, Earaheedy Gp",1700,1.7,carb,-0.7,8,lindsay02,RefList
"Yelma, Earaheedy Gp",1700,1.7,carb,0.6,78,lindsay02,RefList
"Yelma, Earaheedy Gp",1700,1.7,carb,1.2,58,lindsay02,RefList
"Yelma, Earaheedy Gp",1700,1.7,carb,1.8,32,lindsay02,RefList
Tuangshanzi Fm.,1683,1.683,Dol,-2.043589744,39,Chu et al. (2007),RefList
"Kulele Ck, Earaheedy Gp",1675,1.675,carb,-1.2,1,schid83,SV2002
"Kulele Ck, Earaheedy Gp",1675,1.675,carb,0.5,4,lindsay02,RefList
"McArthur, Mt Young",1675,1.675,dol,-0.51,11,veizer92b,SV2002
"McArthur, Mt Young",1675,1.675,ank,1,1,veizer92b,SV2002
"Amelia, McArthur Gp",1650,1.65,carb,-0.8,3,schid83,SV2002
"Barney Ck, McArthur Gp",1650,1.65,shale,-1.6,9,smith75,PPRG
"Barney Ck, McArthur Gp",1650,1.65,dol,-0.94,15,lindsay00,SV2002
"Emmerugga Dol, McArthur Gp",1650,1.65,dol,-0.86,30,lindsay00,SV2002
"HYC, McArthur Gp",1650,1.65,dol,-1.28,24,rye81,SV2002
"HYC, McArthur Gp",1650,1.65,lime,-1.9,2,rye81,SV2002
"Lady Loretta, McNamara Gp",1650,1.65,dol,-0.44,84,lindsay00,SV2002
"Mallapunyah, McArthur Gp",1650,1.65,carb,0.2,1,schid83,SV2002
"Mallapunyah, McArthur Gp",1650,1.65,dol,-0.33,36,lindsay00,SV2002
McArthur,1650,1.65,dol,-1.2,6,veizer76,SV2002
McArthur,1650,1.65,dol,-0.86,179,lindsay00,SV2002
"Mt Les, Fickling Gp",1650,1.65,dol,-1.27,5,lindsay00,SV2002
"Paradise Ck, McNamara Gp",1650,1.65,dol,-0.49,34,lindsay00,SV2002
"Reward, McArthur Gp",1650,1.65,dol,-0.94,8,lindsay00,SV2002
"Teena, McArthur Gp",1650,1.65,dol,-0.38,10,lindsay00,SV2002
"Tooganinie, McArthur Gp",1650,1.65,carb,-2,2,schid83,SV2002
"Walford, Fickling Gp",1650,1.65,dol,-0.71,89,lindsay00,SV2002
Dahongyu Fm.,1625,1.625,dol,-0.383333333,6,Chu et al. (2007),RefList
"Dahongyu, Jixian",1625,1.625,dol,-1.9,1,xiao97,SV2002
"Dahongyu, Jixian",1625,1.625,lime,-0.2,1,xiao97,SV2002
"Looking Glass, McArthur Gp",1625,1.625,dol,-0.36,2,lindsay00,SV2002
"Lynott, McArthur Gp",1625,1.625,dol,-0.64,69,lindsay00,SV2002
"McArthur, Bauhinia Dns",1625,1.625,dol,0.83,18,veizer92b,SV2002
"Stretton, McArthur Gp",1625,1.625,dol,-0.65,3,lindsay00,SV2002
"Yalco, McArthur Gp",1625,1.625,dol,-0.15,28,lindsay00,SV2002
"Balbirini Dol, Nathan Gp",1600,1.6,dol,-0.6,21,lindsay00,SV2002
Bangemall,1600,1.6,dol,0.8,7,veizer76,SV2002
"Bhagwanpur Lst, Rajasthan",1600,1.6,lime,-1.47,11,"ray, unpublished (see PMCID ref)",SV2002
"Bhagwanpur Lst, Rajasthan",1600,1.6,dol,0.62,11,"ray, unpublished (see PMCID ref)",SV2002
"Doomadgee, Fickling Gp",1600,1.6,dol,-2.08,8,lindsay00,SV2002
Kaladgi,1600,1.6,carb,0.3,16,sath87,SV2002
"Smythe, Nathan Gp",1600,1.6,dol,0.41,3,lindsay00,SV2002
Einasleigh Mtm,1575,1.575,lime,4.93,4,mcnaughton83,SV2002
Einasleigh Mtm,1575,1.575,dol,5.53,4,mcnaughton83,SV2002
"Irregully Fm, Bangemall Gp",1575,1.575,dol,-0.11,107,buick95,SV2002
"Cheyne Springs Fm, Bangemall Gp",1550,1.55,carb,-1.58,18,buick95,SV2002
"Erdaohe Fm, Luonan",1550,1.55,lime,-3,1,xiao97,SV2002
"Erdaohe Fm, Luonan",1550,1.55,dol,-1.22,5,xiao97,SV2002
"Gaoyuzhuang Fm, Jixian",1550,1.55,dol,-0.5,2,xiao97,SV2002
"Luoyukou Fm, Shuiyougou",1550,1.55,dol,-0.3,8,xiao97,SV2002
"Muntharra Fm, Bangemall Gp",1525,1.525,dol,-0.39,8,buick95,SV2002
"Devil Ck Fm, Bangemall Gp",1500,1.5,carb,-0.53,21,buick95,SV2002
"Shizhuang Fm, Luonan",1500,1.5,lime,-0.7,1,xiao97,SV2002
"Shizhuang Fm, Luonan",1500,1.5,dol,-0.42,5,xiao97,SV2002
Yangzhuang,1499,1.499,carb,-0.340769231,13,Guo et al. (2013) Precambrian Research,RefList
Wumishan,1499,1.499,carb,-0.065305466,311,Guo et al. (2013) Precambrian Research,RefList
Hongshuizhuang,1499,1.499,carb,1.025,4,Guo et al. (2013) Precambrian Research,RefList
"Altyn, Belt Sgp",1475,1.475,lime,1.47,3,hall96,SV2002
"Altyn, Belt Sgp",1475,1.475,dol,1.67,3,hall96,SV2002
"Ullawarra Fm, Bangemall Gp",1475,1.475,carb,-1.46,9,buick95,SV2002
"Ust'-Il'ya, Anabar",1475,1.475,dol,-1.25,2,knoll95a,SV2002
Chamberlain,1470,1.47,?,-1.74555,2,Stueeken (2013) GCA,RefList
Greyson,1470,1.47,?,0.25170925,4,Stueeken (2013) GCA,RefList
Newland,1470,1.47,?,0.754327977,37,Stueeken (2013) GCA,RefList
