Reference,Sample/Reference notes,Lithology,Metamorphic grade,Group,Formation,Age/age estimate,d13C,H/C,TOC
Brocks McRae 2003,Roy 11,shale,sub greenschist,Hamersley,McRae Shale,2.615,-41.5,0.2,
Brocks McRae 2003,Rae 1,shale,sub greenschist,Hamersley,McRae Shale,2.615,-32.2,0.2,
Brocks McRae 2003,Bee1,shale,sub greenschist,Hamersley,McRae Shale,2.615,-33.5,0.2,
Marshall et al 2007,1904-11,chert,sub greenschist,"Strelley Pool Chert, Pilbara",,3.255,-34,0.02,
Marshall et al 2007,1904-15,chert,sub greenschist,"Strelley Pool Chert, Pilbara",,3.255,-35,0.14,
Marshall et al 2007,140603-5,chert,sub greenschist,"Strelley Pool Chert, Pilbara",,3.255,-35.2,0.33,
Marshall et al 2007,120803-5,chert,sub greenschist,"Strelley Pool Chert, Pilbara",,3.255,-28.3,0.46,
Marshall et al 2007,120803-8,chert,sub greenschist,"Strelley Pool Chert, Pilbara",,3.255,-35.8,0.08,
Brocks Mount Bruce 2003,Rae1,shale,sub greenschist,Hamersley,"McRae Shale, Hamersley",2.5,-32.2,,
Brocks Mount Bruce 2003,Rae2,shale,sub greenschist,Hamersley,"McRae Shale, Hamersley",2.5,-32.8,,
Brocks Mount Bruce 2003,Bee1,shale,sub greenschist,Hamersley,"McRae Shale, Hamersley",2.5,-33.5,,
Brocks Mount Bruce 2003,Dal1,shale,sub greenschist,Hamersley,"Brockman Iron Fm, Hamersley",2.47,-32,,
Brocks Mount Bruce 2003,Rae3,shale,sub greenschist,Hamersley,"McRae Shale, Hamersley",2.5,-34.6,,
Brocks Mount Bruce 2003,Mam2,shale,sub greenschist,Hamersley,"Nammuldi Mm, Marra Mamba Iron Fm",2.597,-41.3,,
Brocks Mount Bruce 2003,Mam1,shale,sub greenschist,Hamersley,"Nammuldi Mm, Marra Mamba Iron Fm",2.597,-46.8,,
Brocks Mount Bruce 2003,Roy1,shale,sub greenschist,Fortescue,"Roy Hill Shale, Jeerinah, Fortescue",2.7,-39.5,,
Brocks Mount Bruce 2003,Roy10,shale,sub greenschist,Fortescue,"Roy Hill Shale, Jeerinah, Fortescue",2.7,-40.3,,
Brocks Mount Bruce 2003,Roy2,shale,sub greenschist,Fortescue,"Roy Hill Shale, Jeerinah, Fortescue",2.7,-39.6,,
Brocks Mount Bruce 2003,Roy11,shale,sub greenschist,Fortescue,"Roy Hill Shale, Jeerinah, Fortescue",2.7,-41.5,,
Brocks Mount Bruce 2003,Roy3,shale,sub greenschist,Fortescue,"Roy Hill Shale, Jeerinah, Fortescue",2.7,-41.1,,
Brocks Mount Bruce 2003,War5,shale,sub greenschist,Fortescue,"Warrie Mb, Jeerinah, Fortescue",2.7,-44.6,,
Brocks Mount Bruce 2003,War1,chert,sub greenschist,Fortescue,"Warrie Mb, Jeerinah, Fortescue",2.7,-37.1,,
Brocks Mount Bruce 2003,Har1,shale,sub greenschist,Fortescue,"Hardey Fm, Fortescue",2.7,-32.9,,
Brocks Mount Bruce 2003,War2,shale,sub greenschist,Fortescue,"Warrie Mb, Jeerinah, Fortescue",2.7,-47.4,,
Brocks Mount Bruce 2003,Tum1,shale,sub greenschist,Fortescue,"Tumbiana Fm, Fortescue",2.724,-46.5,,
Brocks Mount Bruce 2003,FVG1,shale,sub greenschist,Fortescue,"Roy Hill Shale, Jeerinah, Fortescue",2.7,-44.1,,
Brocks Mount Bruce 2003,FVG2,shale,sub greenschist,Fortescue,"Warrie Mb, Jeerinah, Fortescue",2.7,-45.6,,
Hayes 1983 Precambrian carbon,299-1,carbonate,sub greenschist,Transvaal Supergroup,,2.2,-35,0.14,
Hayes 1983 Precambrian carbon,304-1,carbonate,sub greenschist,Transvaal Supergroup,,2.2,-32.5,0.2,
Hayes 1983 Precambrian carbon,304-1,carbonate,sub greenschist,Transvaal Supergroup,,2.2,-32.5,0.22,
Hayes 1983 Precambrian carbon,357-1,shale,sub greenschist,Hamersley Group,,2.5,-35.3,0.11,
Hayes 1983 Precambrian carbon,368-1,shale carbonate,sub greenschist,Hamersley Group,,2.5,-41.8,0.14,
Hayes 1983 Precambrian carbon,325-1,chert,greenschist,Steeprock group,,2.6,-27.2,0.17,
Hayes 1983 Precambrian carbon,325-1,chert,greenschist,Steeprock Group,,2.6,-27.2,0.17,
Hayes 1983 Precambrian carbon,293-1,chert,greenschist,Ventersdorp Supergroup,,2.6,-38.5,0.14,
Hayes 1983 Precambrian carbon,225-1,chert,upper greenschist,Majeri Fm,,2.6,-33,0.15,
Hayes 1983 Precambrian carbon,225-1,chert,upper greenschist,Manjeri Fm,,2.6,-33.2,0.11,
Hayes 1983 Precambrian carbon,254-1,carbonate,greenschist,Bulawayan Group,,2.6,-31.2,0.098,
Hayes 1983 Precambrian carbon,027-1,chert,sub greenschist,Fortescue Group,,2.8,-51.2,0.25,
Hayes 1983 Precambrian carbon,038-1,shale,sub greenschist,Fortescue Group,,2.8,-41,0.14,
Hayes 1983 Precambrian carbon,266-1,shale,greenschist,Mozaan Group,,3,-27.3,0.11,
Hayes 1983 Precambrian carbon,022-1,shale,greenschist,Gorge Creek Group,,3.4,-29.9,0.095,
Hayes 1983 Precambrian carbon,022-1,shale,greenschist,Gorge Creek Group,,3.4,-30.6,0.078,
Hayes 1983 Precambrian carbon,022-1,shale,greenschist,Gorge Creek Group,,3.4,-29.9,0.085,
Hayes 1983 Precambrian carbon,002-1,chert,lower greenschist,Warrawoona Group,,3.5,-34.3,0.03,
Hayes 1983 Precambrian carbon,004-1,chert,lower greenschist,Warrawoona Group,,3.5,-35.9,0.17,
Hayes 1983 Precambrian carbon,004-1,chert,lower greenschist,Warrawoona Group,,3.5,-36.1,0.16,
Hayes 1983 Precambrian carbon,016-1,chert,lower greenschist,warrawoona Group,,3.5,-35.2,0.3,
Hayes 1983 Precambrian carbon,182-1,chert,greenschist,Swaziland sequence,,3.5,-34.3,0.12,
Hayes 1983 Precambrian carbon,182-1,chert,greenschist,Swaziland sequence,,3.5,-31.7,0.12,
Hayes 1983 Precambrian carbon,189-1,chert,greenschist,Swaziland sequence,,3.5,-29.9,0.13,
Hayes 1983 Precambrian carbon,198-1,chert,greenschist,Swaziland sequence,,3.5,-32,0.096,
Hayes 1983 Precambrian carbon,199-1,chert,greenschist,Swaziland sequence,,3.5,-26.6,0.085,
Hayes 1983 Precambrian carbon,215-1,chert,greenschist,Swaziland sequence,,3.5,-31.9,0.16,
Hayes 1983 Precambrian carbon,215-1,chert,greenschist,Swaziland sequence,,3.5,-31.9,0.16,
Hayes 1983 Precambrian carbon,181-1,shale,greenschist,Swaziland sequence,,3.5,-15.4,0.019,
Hayes 1983 Precambrian carbon,465-1,volcanics,amphibolite,Isua Supracrustal,,3.8,-10,0.016,
Hayes 1983 Precambrian carbon,466-1`,schist,amphibolite,isua Supracrustal,,3.8,-13.2,0.012,
Slotznick and Fischer 2016,Org_TA1,sandstone,,Fortescue,Tumbiana (Meentheena Member),2.72,-53.2,,
Slotznick and Fischer 2016,"Org_TB2,1",sandstone,,Fortescue,Tumbiana (Meentheena Member),2.72,-49.91,,
Slotznick and Fischer 2016,"Org_TB2,2",sandstone,,Fortescue,Tumbiana (Meentheena Member),2.72,-52.07,,
Duda et al 2018,,chert,,Warrawoona,Dresser,3.5,-32.8,,
